Hole,Distance,Par,Stroke Index,Name
1,357,4,2,Aravell Golf Club
2,153,3,10,Aravell Golf Club
3,283,4,18,Aravell Golf Club
4,411,5,16,Aravell Golf Club
5,328,4,12,Aravell Golf Club
6,161,3,6,Aravell Golf Club
7,428,5,8,Aravell Golf Club
8,346,4,4,Aravell Golf Club
9,158,3,14,Aravell Golf Club
10,317,4,3,Aravell Golf Club
11,346,4,7,Aravell Golf Club
12,171,3,13,Aravell Golf Club
13,293,4,15,Aravell Golf Club
14,420,5,9,Aravell Golf Club
15,171,3,5,Aravell Golf Club
16,464,5,1,Aravell Golf Club
17,119,3,17,Aravell Golf Club
18,411,5,11,Aravell Golf Club
